PCB编号,产品名称,测试用时,面,测试结果,机器编号,条码,PCB Ng 总数,误判Ng数量,确认NG数量,操作员,班次,线别,元件数量,检测点数
789317,120-200235-09-T,12.691,A,PASS,VCTA-D810,D02002350926071383600,7,7,0,,day,Line1,338,338
789318,120-200235-09-T,12.691,A,PASS,VCTA-D810,D02002350926071383599,10,10,0,,day,Line1,338,338

PCB编号,拼板编号,元件位置,角度,X坐标,Y坐标,NG名称,NG确认,料号,条码
789317,1,C27_2_1,269.87,0.00,0.00,错件,误报,C1206-47UF-50V,D02002350926071383600
789317,1,C19_2_1,269.80,0.00,0.00,错件,误报,C1206-47UF-50V,D02002350926071383600
789317,1,U9_2_1,269.71,0.00,0.00,虚焊,误报,EL3H4-A-G,D02002350926071383600
789317,1,U7_2_1,180.00,0.00,0.00,偏移+缺锡+桥连+缺锡+桥连+缺锡+缺锡+桥连+缺锡+缺锡,误报,GD32F305RCT6-QFP64,D02002350926071383600
789317,1,LED19_2_1,90.00,0.00,0.00,极反,误报,LED-0603-Green,D02002350926071383600
789317,1,R2_2_1,272.43,0.00,0.00,虚焊,误报,R0603-10K-1%,D02002350926071383600
789317,1,U1_2_1,270.17,0.00,0.00,缺锡+虚焊+缺锡+缺锡+缺锡+缺锡+虚焊+缺锡+缺锡+缺锡,误报,SH367309-QFP48,D02002350926071383600
789318,2,Q,180.68,0.00,0.00,虚焊,误报,Q,D02002350926071383599
789318,2,Q7,180.00,0.00,0.00,错件,误报,2SC4672G-SOT,D02002350926071383599
789318,2,C27,269.70,0.00,0.00,错件,误报,C1206-47UF-50V,D02002350926071383599
789318,2,C19,269.45,0.00,0.00,错件,误报,C1206-47UF-50V,D02002350926071383599
789318,2,U14,270.00,0.00,0.00,偏移,误报,EL3H4-A-G,D02002350926071383599
789318,2,U12,270.00,0.00,0.00,偏移,误报,EL3H4-A-G,D02002350926071383599
789318,2,U7,180.00,0.00,0.00,偏移+缺锡+缺锡+缺锡+桥连+缺锡+桥连+缺锡+缺锡+缺锡,误报,GD32F305RCT6-QFP64,D02002350926071383599
789318,2,U2,89.51,0.00,0.00,翘脚,误报,IS3050U-DDBR-DUB8,D02002350926071383599
789318,2,R401,0.00,0.00,0.00,General+General,误报,R1206-0R-1%,D02002350926071383599
789318,2,U1,270.22,0.00,0.00,缺锡+虚焊+缺锡+虚焊+缺锡,误报,SH367309-QFP48,D02002350926071383599
